Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Cade Cunningham;PG;19;6.7;220;10050120.0;;;
Hamidou Diallo;SG;23;6.5;202;5200000.0;11.6;5.2;1.9
Luka Garza;C;22;6.1;243;;;;
Jerami Grant;SF;27;6.8;210;20002500.0;22.3;4.6;2.8
Killian Hayes;PG;20;6.5;195;5572680.0;6.8;2.7;5.3
Frank Jackson;PG;23;6.3;205;3000000.0;9.8;2.2;0.9
Josh Jackson;SG;24;6.8;207;5005350.0;13.4;4.1;2.3
Cory Joseph;PG;30;6.3;200;12600000.0;8.2;2.5;3.4
Balsa Koprivica;C;21;7.1;240;;;;
Saben Lee;PG;22;6.2;183;1489065.0;5.6;2.0;3.6
Isaiah Livers;PF;23;6.6;232;1057260.0;;;
Trey Lyles;PF;25;6.9;234;2500000.0;5.0;3.7;0.6
Rodney McGruder;SG;30;6.4;205;1669178.0;5.7;1.4;1.0
Kelly Olynyk;PF;30;6.11;240;12195122.0;13.5;7.0;2.9
Chris Smith;F;21;6.8;215;;;;
Dennis Smith Jr.;PG;23;6.2;205;;6.7;2.4;3.3
Isaiah Stewart;C;20;6.8;250;3277080.0;7.9;6.7;0.9
Goga Bitadze;C;22;6.11;250;3098400.0;5.1;3.3;0.8
Oshae Brissett;SF;23;6.7;210;1701593.0;10.9;5.5;0.9
Malcolm Brogdon;PG;28;6.5;229;21700000.0;21.2;5.3;5.9
Torrey Craig;SF;30;6.7;221;4878049.0;5.5;3.9;1.0
Chris Duarte;SG;24;6.6;190;3749400.0;;;
Justin Holiday;SF;32;6.6;180;6006420.0;10.5;3.6;1.7
Isaiah Jackson;PF;19;6.1;205;2451240.0;;;
DeJon Jarreau;F;23;6.5;185;;;;
Jeremy Lamb;SG;29;6.5;180;10500000.0;10.1;3.6;1.5
Caris LeVert;SG;27;6.6;205;17500000.0;20.2;4.6;5.2
Kelan Martin;SG;26;6.5;230;1701593.0;4.5;2.2;0.5
T.J. McConnell;PG;29;6.1;190;7500000.0;8.6;3.7;6.6
